time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
76652405,155,147,118,184,84,123,3869
76685738,155,147,117,186,86,122,3868
76719071,155,147,116,184,86,123,3858
76752404,155,147,116,184,85,124,3482
76785737,155,148,117,184,84,121,3097
76819070,152,148,116,184,85,123,2754
76852403,154,147,117,185,84,122,2467
76885736,155,147,117,184,86,122,2237
76919069,155,147,117,180,85,122,2048
76952402,155,147,116,195,85,121,1928
76985735,155,147,117,191,85,121,1830
77019068,155,148,116,189,87,132,1725
77052401,155,146,119,205,91,133,1560
77085734,168,147,125,196,95,195,1346
77119067,158,148,120,190,90,157,1136
77152400,162,146,118,189,91,269,1004
77185733,221,148,130,209,89,202,1016
77219066,210,148,125,211,90,280,1171
77252399,182,147,124,224,87,279,1508
77285732,181,148,120,386,91,277,1402
77319065,170,144,118,291,94,313,1243
77352398,202,148,123,273,93,309,951
77385731,190,148,125,295,90,232,1166
77419064,173,147,121,310,91,227,1368
77452397,197,149,127,383,90,252,2048
77485730,226,148,143,327,89,217,2817
77519063,214,149,162,307,89,240,3818
77552396,210,150,150,268,86,229,3869
77585729,196,148,133,251,87,213,3867
77619062,213,150,138,220,87,190,3869
77652395,217,148,134,208,88,264,3868
77685728,196,148,127,209,86,198,3867
77719061,205,148,127,197,95,170,3868
77752394,196,148,125,195,94,146,3868
77785727,193,148,126,202,94,196,3869
77819060,178,147,127,196,90,185,3868
77852393,211,148,128,189,88,204,3868
77885726,256,150,152,194,88,246,3869
77919059,207,149,137,193,86,194,3868
77952392,272,149,152,190,88,189,3868
77985725,225,148,134,189,87,158,3870
78019058,206,149,146,187,87,149,3641
78052391,185,149,138,186,95,239,3367
78085724,172,149,136,185,90,200,3117
78119057,172,147,132,191,89,176,2888
78152390,175,147,135,188,89,156,2679
78185723,174,150,135,186,88,146,2482
78219056,195,150,143,186,87,161,2303
78252389,187,150,144,193,87,147,2136
78285722,204,150,147,188,87,135,1970
78319055,213,149,139,189,87,149,1828
78352388,197,149,133,190,88,145,1697
78385721,181,151,139,188,88,135,1573
78419054,180,148,131,187,87,130,1460
78452387,169,150,129,188,87,129,1355
78485720,171,149,131,190,86,131,1257
78519053,236,151,147,190,87,131,1167
78552386,195,150,131,188,84,127,1082
78585719,204,150,147,198,89,130,1006
78619052,202,150,138,232,90,125,933
78652385,192,149,127,208,86,125,866
78685718,205,150,138,199,87,123,805
78719051,208,148,132,196,88,125,748
78752384,186,149,127,197,89,123,694
78785717,174,148,123,196,88,123,646
78819050,175,148,122,194,96,127,600
78852383,165,148,120,190,91,129,558
78885716,196,145,131,188,93,136,519
78919049,175,148,125,196,93,148,483
78952382,210,149,129,194,91,159,449
78985715,280,152,156,198,118,152,418
79019048,221,154,149,201,104,157,387
79052381,210,151,133,193,111,148,364
79085714,203,149,129,190,106,148,337
79119047,180,149,123,197,99,153,314
79152380,169,149,122,191,94,157,295
79185713,164,149,120,188,92,161,275
79219046,169,149,122,190,94,160,257
79252379,165,150,130,233,95,161,239
79285712,162,149,124,210,95,173,225
79319045,168,151,134,210,116,166,211
79352378,186,167,163,218,296,162,198
79385711,169,163,140,221,238,170,185
79419044,173,157,145,208,162,167,174
79452377,169,173,160,246,139,179,163
79485710,163,162,143,217,110,174,154
79519043,197,180,218,250,122,203,145
79552376,186,169,185,277,128,206,136
79585709,176,163,182,245,127,224,136
79619042,173,171,189,256,180,228,170
79652375,164,158,153,394,134,252,188
79685708,239,178,210,375,167,219,202
79719041,209,166,172,360,178,270,210
79752374,271,167,185,334,176,292,215
79785707,436,181,328,427,142,351,216
79819040,1033,396,858,400,142,387,219
79852373,1234,1317,1206,444,151,353,220
79885706,1587,1344,1316,361,128,275,220
79919039,1294,1995,1813,416,193,384,219
79952372,1495,1683,1506,379,172,392,219
79985705,908,1680,1974,334,143,342,219
80019038,1639,1723,1890,385,137,325,219
80052371,1114,1572,2186,351,168,431,220
80085704,1496,1932,2233,332,136,469,219
80119037,845,1150,1459,283,153,456,219
80152370,937,1499,1562,387,129,483,219
80185703,594,891,869,296,160,339,219
80219036,507,877,948,269,158,297,218
80252369,494,803,1219,250,147,419,218
80285702,659,935,1500,233,146,342,218
80319035,503,1028,1176,257,166,455,218
80352368,430,912,1396,223,196,387,217
